label,text
1,"When this film was made, the hippie thing had gone mainstream. The ideas of the counter culture was well established, that is why such a big film could be made. Yet it has something to say, and it is said really beautifully. Apart from those who're only waiting for the wanking material, this film is given credit for its beautiful scenes(which in itself is more than enough reason to see the film) by the most. The soundtrack to this film, which actually became more popular than the film itself, is another plus. Pink Floyd's ""Careful with that axe Eugene"" suits really well with the explosions, the absence of music in other scenes gives the film a nice quiet mood. But. It seems as though the messages in this film have been overlooked by the most. If you didn't understand it, which seems to be the case for the most, I'll give you some hints: The man(tough guy, what ever his name is-Mark?) is a part of a ""reality group"". He leaves this group saying something like ""I'm willing to die. But not of boredom"" He later go for a joyride with a stolen plane, probably to seek some action. As he is in the air, Grateful Dead's Dark Star(from the Live/Dead album) is played(i think). This song contains the phrase ""Shall we go you and I while we can"", this is though not heard in the film.(Perhaps stretching it a bit too far meaning that quote is essential?) In the plane, he checks up a girl(Daria), who is driving in her car to a conference(about giving typical suburban families the opportunity to live in a super-relaxing place in the desert, where everything is so simple and nice. For the whole family!), by diving down, almost hitting the car. He lands the plane, and joins the girl on her way to Detroit. They stop at Zabriskie point, where they enjoy each other as living creatures and the nature. Later a family with a big car(of the type which you sleep in) and a speed boat is showed visiting Zabriskie Point, the father saying something like ""what a waste driving all the way up here"", and the kid sitting inside the car, grinning. I sensed a ""this wasn't much better than on the telly""-attitude. Daria takes Mark back to the plane which now is painted in a psychedelic style, with the identity number changed to ""no war"" on one side and ""no words"" on the other. ""Bucks Sucks"" is also written on the plane. Mark takes the plane back to where he stole it from, saying to Daria before he leaves ""I don't risk anything"" or something, one of several hints about he not caring too much about his destiny. (This because he has the feeling that the environment that surrounds don't give him anything- ""I wonder what happens in the real world"") On the airport he is met by police officers who shoots him even though he just has returned the plane. Daria hears this on the radio, but decides to go to the conference in the fancy mansion. Here she feels alien after the adventures with her just killed friend. She enjoys fresh water running down a rock, more than the swimming pool. Inside the house the viewer is once again given a hint about anti-materialism -She looks out through a glass wall, holding her hands on the glass like she was trapped. The business men is seen arguing, the one side eager to make a big deal, the other afraid of losing money. Daria leaves the house and looks back at it, visualizing it blowing up. After the house, several other things blow up, for example a television. She smiles, happy she has inside herself destroyed what she after the meeting with Mark look upon as something negative.<br /><br />To summarize: Mark obviously experience the ""reality group"" as not very useful as they just sit and talk, taking no action. He clearly has bad feelings about things being as they are, and it seems like he feels that it's no use fighting against it. He wants to leave. He helps Daria, who is ""in mind but not in action"" seeing his point of view. Where his feeling of being misfitted turns out leading to his death, one can hope Daria uses the ideas in a way that will turn out more constructive. In the film you see how a town (LA) is being polluted by commercial (too bad you have to show the commercial to make the point), you see business men deciding what is the future, et cetera, and you see people being unhappy with these and other situations which is parts of the modern world.<br /><br />I have only seen the film once, so I have not caught all points, but I certainly got a feeling of what this film has to say, and I find it strange that this film can be called meaningless. If you say the points are being too obvious, I can see why, this film probably intended to appeal to the post-hippie radicals ""digging"" the thoughts of anti-establishment. Even though, it has a lot to say, and its message is still needed today, things pretty much evolving in the same direction as it did before the sixties. Zabriskie Point is a really great film, telling a story about quite normal young people (not far out hippies tripping around tip toe on acid, digging everything) seeking what they percept as real, dissatisfied with the conventional. And it is done in a truly beautiful way."
0,"Christopher Durang must have been taught by a memorably awful nun, because he just can't let go of the concept. The play, ""Sister Mary Ignatius Explains It All For You,"" was presented -- at least in Hollywood -- in precisely the same tone as Diane Keaton's lecture scenes here. Sister Mary was an exaggeration, a lampoon, a bitter satire of a serenely confident, doctrinaire and highly judgmental nun -- and as played by Lynn Redgrave, she was hilarious. But the movie insists that we take this exaggeration absolutely seriously -- while, as mentioned, maintaining the same tone in the ""explains it all"" scenes. The two approaches clash headlong and in the last twenty minutes, the movie goes off the track, plunges into the gorge, and explodes. There are no survivors. It could have worked, if the tone of the scenes with the four former students, and their encounter with Sister Mary, been pitched the same as the Sister Mary scenes. Or if the Sister Mary scenes been presented more realistically. This way simply doesn't work at all."
0,"The storyline is absurd and lame,also sucking are performances and the dialogue, is hard to keep your Eyes open. I advise you to have a caffeine-propelled friend handy to wake you in time for a couple Gore-effects.Why they bring Alcatraz in?In this case,becomes increasingly difficult to swallow. All the while ,i wondered who this film aimed for?Chock full of lame subplots (such as the Cannibalism US Army-captain)This is low-grade in every aspect.BTW this Movie is banned in Germany!!"
1,"Much to her adult children's chagrin & nearly immediately after Elizabeth's (Dame Judy Dench) husband's death, the widowed, attic tenor saxophone player becomes bent upon openly returning to her musical hobby. Now that George is dead, Elizabeth no longer has to practice playing sax in the attic. As she grows more pleased with playing in the open, Elizabeth takes a stroll along memory lane, remembering when she was a 15 year old member of a jazz swing band, ""The Blonde Bombshells"": supposedly, an all-girl WWII group of talented jazz swing musicians. One of the ""Blonde Bombshells'"" band members was a womanizing, cross-dressing drummer, Patrick (Ian Holm), with whom Elizabeth remained friends.<br /><br />Both Patrick & Elizabeth's 12-year-old grand-daughter, Joanna (Millie Findlay), press Elizabeth to round up the former band members & take up performing together again; this time as a bunch of sexagenarians. Among the band members she finds are the (still foxy!) bass playing, Madeleine (Leslie Caron); Dinah (Olympia Dukakis), a trumpet playing, alcoholic & out-spoken, money-grubbing divorcée & widow living off of wealth from her many (ex)marriages in a Craigievar Scottish castle; Gwen, (real life US star jazz singer, Clio Laine), having at the lead vocal; Annie, (June Whitfield), as the Salvation Army trombone player; Betty, (the late piano player, Joan Sims), who's located training the ivory keys in a Hastings pub.<br /><br />As Elizabeth, Patrick & Joanna scout the world for members of the 1940's band & try to convince them to resume performing together, Elizabeth is oft times beside herself as she learns more than she wants to know about their adult lives--including her own--while having a blast playing terrific music with the last of the living 'Blonde Bombshells'.<br /><br />Amusing, nostalgic, historical, sentimental, multi-generational entertainment that is seriously fun. The actors deliver wonderful performances. Regardless of their ages, they are still Bombshell entertainers who put on quite a show. (The DVD is now out & worth owning because of the bonus features & Dolby Digital sound). Surely as a fan of any of these terrific actors the VHS is a collector's item."
1,"I never trust the opinions of anyone regarding a film. That goes for critics as well. Sure, if it gets positive reviews that's OK and a plus, but most films that get critical rave I hate. I enjoyed this film for what it was, an entertaining film. It takes you out of your life for a couple hours and into a fictional character...that being Catherine Trammell. Sharon Stone is awesome in this role, just like she was in the first one. Anyone who says she is horrible in this film must have felt the same in the first one b/c she is back acting the same way she did in Basic Instinct 1. Catherine is hers and she plays her to perfection. Her one liners are great, much like in the first one. Who can forget in the first film when she tells the cops, ""If you're gonna arrest me do it...otherwise get the f**k out of here!"" Great scene, and believe me, she does it again in this one. I was captivated by her. Her outfits, the way she smoked her cigarettes, believe me, its worth the price just to see Stone's performance. I cannot wait for this film to be released on DVD, uncut, because I can only imagine how much better it is going to be. And yes, there are lots of twists, as in the first one, including the ending!"
0,"one word boring.<br /><br />the young demi looks good, but she's pregnant (- point for that =D) the movie is not scary at all...<br /><br />the first scenes looked little crappy, i could render better clouds with my laptop, and after effects. but that was then... and now is now. some movies do not get old well... this is one of them.<br /><br />not worth renting or buying... get something better instead like the exorcist, ...<br /><br />next =D<br /><br />oh the drama part in the beginning just and simply suxor =D"
0,"Yes, even as a fan of shows like survivor and the apprentice, this show is pretty bad. I didn't mind the first couple of shows, but then realizing how pathetic everyone was to actually go on the show in the first place.The antics of Alex and Aaron giving men a bad name at the way they cheated on or dumped their choice at the first opportunity really was not a good look for the show.<br /><br />Ryan, you can have Trista. She had the most annoying voice I've ever heard on television, and she definitely wasn't the smartest girl around (very media savvy, but I doubt there's much more there).<br /><br />I haven't really watched any of the shows since, apart from the occastional re-run on daytime TV. I think the point of reality TV is to treat it as ""entertaining trash"". View it as something you can laugh over, and don't have to think too hard about ( I don't watch CSI its like reality TV-tired and clichéd, but you have to think too much anyway while watching).<br /><br />A couple of thoughts on some reasons fro going on the show. At the very first 'the woman tell all"" Woman such as Amy ( who had a lot of class about her) commented that she had tried every scene aka the bar and club scene to meet a guy and it wasn't happening for her. Hey Amy, how about joining a club? getting a hobby? doing charity work? changing your job to one where you meet more guys? gees, all I know is that going to a bar is not the ideal place to meet a future partner.<br /><br />Amy and many of the other girls seemed to be obsessed with the idea of meeting ""the perfect man'. Clue to ladies: he doesn't exist. There are, however, many great guys out there that would make great husbands, some who may be right for you! they may not earn six figures a year or be a JFK junior look alike, but they are great guys all the same. The shallowness of woman on this show is quite unbelievable. Im still a youngster, at was lead to believe that woman gradually grew out of their shallowness as they got older and more realistic about their future partner. This show is proving otherwise.<br /><br />Overall this show does a lot to confirm many stereotypes of how woman view men in society. It really is a terrible show and I think all of these types of shows should just stop being made. The best dating shows by a country mile are Blind Date and The Fifth Wheel because they are fun. Nothing is manned more between the ""couples"" than a simple night out. the bachelor, sadly takes itself way too seriously."
1,"With the death of GEORGE NADER, on 4 February 2002, I thought of this most interesting program, which even though it had only a short run, was a tremendous idea with good story lines throughout. Generally unseen for over 40+ years it would be worth viewing again. The opening credits showed many differing images, one of which was a snippit of COLONEL JOHN PAUL STAPP, riding his famed rocket sled, at the point where he was often referred to as ""The Fastest Man Alive""."
1,"The movie is more about Pony than Grey Owl. It's also about aboriginals, Canada, the English, Grey Owl's aunts and the North Bay Nugget. Excellent story.<br /><br />This is an excellent movie, more like a book, that raises interesting questions about cultural identity and values. The key scene is Grey Owl admitting his imposture to Pony and her reaction.<br /><br />A few observations on the user ratings. Note that the user ratings are bi-polar clustering at 5 and 7; it's not for everyone, but has a strong following. This movie is underrated and overlooked but will be noticed for years to come. Also, few women have watched the movie but they rate it more highly than men. Has it been marketed properly?<br /><br />"
0,"A truly horrible film that left me feeling sullied by having watched the forty minutes or so I could stand. Not the actors' fault, but the writer/director, producers, financiers, etc., need a very stiff talking to. Maybe it thinks it is profound. It isn't. This rape and ultra-violence, unlike that central to Clockwork Orange, has nothing to say about or add to the sum of human understanding. It's no Straw Dogs, either, to which I have seen it compared. Rather it feels like something Pete Walker might have turned his hand to, yet even in saying that I'm probably being a bit unfair on Pete Walker.<br /><br />Revenge is a powerful human desire, but The Bedroom Window has more to say about that and male emasculation than this pitiful effort.<br /><br />I don't think it's particularly misogynistic, merely too gleeful in its depiction of certain details -- the blood running down GA's leg post rape, par example. It's neither challenging nor confrontational, though I'm sure the film-makers consider themselves very 'daring', just deeply unpleasant.<br /><br />Is this as high as we can aim? Is this why those involved wanted to make films? ( I did write in here the Latin phrase which translates as Oh the Times! Oh the customs! But the new spell-check on IMDb wouldn't let me post until I had removed it. Likewise I had to remove square parentheses. Get it sorted IMDb.)<br /><br />Where is the lofty aspiration? The noble impulse? When you look at British film - the joyful comedies of Ealing or the Boulting Brothers; Carol Reed's work with Graham Greene on Fallen Idol, Our Man in Havana or the sublime The Third Man (a film which has far more to say about evil than a thousand Straightheads); the work of Powell & Pressburger; or if you want to talk about sex, violence and male emasculation look at ""The Offence' Dir. Sidney Lumet, from an original play by John Hopkins; check out ""Tunes of Glory"" for something worth making, that has something to say.<br /><br />Unlike the foregoing, Straightheads is, alas, an altogether hateful waste of celluloid."
0,"I went to see this film with fairly low expectations, figuring it would be a nice piece of fluff. Sadly, it wasn't even that. I could barely sit through the film without wanting to walk out. I went with my two kids (ages 10 and 13) and even they kept asking, ""How much longer?"" After lasting until the end, I just kept wondering who would approve this script. Even the reliable Fred Willard couldn't save the trite dialogue, the state jokes, and the banal plot. I'd suggest that whoever wrote and directed this movie (I use the term loosely) should take an online screen writing class or drop by their local community college for a film class. At the least, there are many books on directing, screen writing, and producing movies that would teach them something about structure, plot, dialogue and pacing."
0,"This movie has a very hard-to-swallow premise, even by this genre's standards. We are asked to accept not only that a record played backwards can bring a dead man back to life, but that the record also contains hidden messages aimed SPECIFICALLY at one kid, when the singer had no connection to the boy when he was alive, and of course no way of knowing at whose hands the record would end up. Anyway, the film is fun for a while, but eventually the silliness and the pointlessness reign supreme. If they were really trying to create a new Freddy-like horror icon, they were way off: the villain here has no personality, no motivation, and no variety. (*1/2)"
1,". . .but it was on a UHF channel and the reception was very fuzzy. I'd really like to own the movie since the reason I watched it in the first place is because I am a bus driver and at the time I saw this movie, I was driving that model bus. It was only (during his murder trial some 15 years later) that I remember vaguely that OJ was one of the stars in it. I only recall that he was the driver and of the bus' being shot up and driven wildly. I've been looking all over for this movie to no avail, since viewing it in the mid-80s. I liked the movie, I don't usually watch thrillers, but after reading the summary in the TV guide, and viewing its beginning (although fuzzy) I stayed for the whole thing."
1,"The mere fact that I still think of the movie a decade later is what really speaks volumes about the film. To me this substantiates Grand Canyon as a film that will touch you in one way or another. I truly believe that before the movie Crash there was Grand Canyon. The major difference between the two films in my opinion is the timing of their release. I'm not going to argue which one is better, but I will contend to the idea that they share the same message. I'd love to hear from those that have an opinion on this subject. I will start a commentary which you can find at http://www.myspace.com/62229249. You may also find me there to post any other topics about movies that we may share, because i have a true love for film."
1,"I had never seen a silent movie until July 24, 2005. I had never seen a movie with Mary Pickford in it. I've seen thousands of movies. Very few are hypnotic to me. I found Last of the Mohicans and Unforgettable (Ray Liotta) to be hypnotic, so consider the source as you read this. I started watching Tess of the Storm Country on TCM just to see who this Mary Pickford was, who has been credited by many for launching Hollywood. I had no idea what I was in for. Two hours later, I snapped out of it, and realized I'd watched one of the most beautiful women I had ever seen, playing a role perfectly suited to her. Imagine a movie fan in 1922, having never seen anyone that gorgeous and that expressive before. You would have to see her again and again. The setting was perfect for a girl that expressive. She was a poor squatter, couldn't speak the King's English, but you had to admire her. What a movie... time to start my Mary Pickford movie collection!"
0,"I would like to say that unlike many of the people who disliked this film and found it impossible to understand I was fully able to understand it for what it is.. A very incoherent attempt at a plot line.<br /><br />I don't like to toss this word around but in this case it fits very well. The director firstly presents the material in an extremely ""arrogant"" way and worse, extremely incoherently. It is incoherent in that it presents the material in a messy dislodged order, making us think that the director was too drunk to remember which scenes come first, and arrogant in that at 2 hours long they expect us, the viewer to CARE by the end of it.<br /><br />I respect surrealist cinema for what it is. (creating a story around a more than real world that does not tie to real life) But there is nothing surreal about having a story placed in ordinary modern times, and a modern day earth setting, that is most importantly not able to engage the audience but furthermore, simply a dislodged series of events that barely tie together. The most accurate way to describe the experience of viewing this film is like viewing a story; perhaps even a very GOOD story as it was based on a book, but being frustrated by the fact that the camera doesn't seem to capture the necessary moments and tie together any means of coherence.<br /><br />Let's compare stylistic cinema. Compare Gaspar Noe's ""Seul contre tous"" to this. He gave us a coherent, extremely engaging and intellectually deep story. This movie offers no intellectual study, and while it is very stylistic in it's fragmented presentation, the director has ultimately abandoned the essential art of good storytelling and all we are left with is a mess of events that barely tie in together.<br /><br />Yes indeed it IS possible to make sense of things.... to a POINT. But as i said earlier the viewer will reach a stage where they simply say ""Who cares."" It plays out like watching a drab mundane story of a man going to a supermarket and buying groceries in uncronological order. Even with murders it is completely uninteresting and unengaging. Too many people these days will give high marks to something they are unable to understand or make sense of simply for fear of looking foolish, and in every way this film TRIES to make the viewer look foolish.<br /><br />If you have too much time on your hands, then please watch this film, taking into account what I have said of it. It is a story based on a book that could have been presented in a MUCH more effective way and that is my bottom line reasoning."
0,"I went to school with Jeremy Earl, that is how I heard of this movie, I don't really know if it was in the theater's at all. I don't recall the name. I have seen it, it is like one of those after school specials. The acting is OK, not great. The plot was kind of weak and the lines were pretty corny. So the only comment I can give this movie is ""Eh"" I borrowed the movie from Jeremy, if I was in a movie rental place, this is one that I would walk past and after watching it I wouldn't recommend it to anyone past middle school age. I've also noticed that many times when urban kids are portrayed, the slang is overused or just outdated. Many times I think thats what makes their characters unbelievable."
0,"For those fans of Laurel and Hardy, the 1940s and beyond were a very sad time for the team. Their contracts with Hal Roach Studios had expired and now they were ""free agents""--able to work for any studio who offered them a job. Unfortunately, Fox, RKO, MGM (without Roach) and even a French film company who hired the boys had absolutely no touch for their comedic talents. Plus, Stan and Ollie were a lot older and seeing these geriatric men taking pratfalls seemed sad, not particularly funny. Stan looked very ragged and Ollie's weight had ballooned up to the point where he could barely walk--and so it made me feel uncomfortable laughing at their very, very sedate antics.<br /><br />In addition to their age, this particular film suffers because Fox Studios oddly cast them in a supporting role and created a parallel plot involving a young couple--something that reduced their time on screen AND turned them into insipid ""hangers on"" instead of just being themselves. A cute and cuddly Stan and Ollie is very foreign to the old Laurel and Hardy of the 20s and 30s--and just seemed awfully strange and suited them poorly.<br /><br />Now even with their age, this COULD have been a decent movie if it had been given decent writing and if it appeared the studio cared--and it's quite obvious they were using the ""B unit"" here--with, at best, second class support. In particular, there are very few laughs and the last 10 minutes of the film is simply dreadful--relying exclusively on a sloppy rear-projected screen for the stupid chase scene--which might just rank as one of the worst of its kind in film history.<br /><br />For mind-numbed zombie lovers of Laurel and Hardy, it's probably a film they will love. But, for lovers of the team who are willing to honestly evaluate this film relative to their amazing earlier films, it simply comes up wanting indeed. In fact, of all their full-length films pre-1940, I can't think of one I liked less than DANCING MASTERS. Unfortunately, of the post-1940 films, this might just be one of their better ones. Sadly, it got a lot worse--with wretched films like THE BIG NOISE and NOTHING BUT TROUBLE. I just wish the boys had just retired after SAPS AT SEA.<br /><br />Finally, I wonder if all the generally positive reviews for this film on IMDb might reflect the reviewers' love of the team more than it's an indication that this is a good film? For an audience who are NOT already in love with the team, I don't know HOW this film will do anything but bore the audience--it certainly WON'T convince anyone that Laurel and Hardy were comedic geniuses. But even comedic geniuses need material worthy of their talents."
1,"If you are a fan of Altman's large ensemble casts, as evidenced in major films like M.A.S.H., Nashville, Gosford Park, and lesser seen films like A Wedding, then you will no doubt be entertained by HealtH. Centered around a Health Convention where two women are running for President, HealtH contains many of Altman's latter 70s regulars like Paul Dooley (who helped write the film), Carol Burnett, and Henry Gibson, while also including top star Altman newcomers like Lauren Bacall, James Garner, and Glenda Jackson. Like a lot of Altman ensemble films there are numerous subplots in this film, but it is not nearly as overwhelming as films like Nashville or A Wedding, rather it has a more centered feel, perhaps like M.A.S.H. or Gosford Park. The whole thing is an obvious satire on the Health movement, filled with over-top, outlandish, contradictive characters, with guest stars like Dick Cavett providing a wry commentary on the whole thing. Underlining the whole election process is Altman's characteristic pessimism about politics and public appeal but what is most appealing about this film is the sheer fun most people seem to be having. This would be one of Altman's last films like this for a while!"
1,"I saw this film a couple of weeks ago, and it's been stuck in my head ever since. It stars two spellbinding characters in what is unfortunately a mediocre documentary. To get the true story of the Beales, I had to wade through all of the DVD's bonus material and commentaries and search the web.<br /><br />Although the Maysles and their fans (not to mention Edith and Edie themselves) bristle at the suggestion that this film is exploitative, this is exploitation in the truest sense of the word. Very little effort is every made to explain the Beales or how they came to the condition they were in - the Maysles approach seems to be to just turn the camera on and wait for Edith and Edie to say something outrageous. The sound, even on the Criterion re-release is poor and difficult to follow. Although I appreciate this film was made somewhat early in the history of documentary film, it's ironic to compare it to Geraldo Rivera's (!) far superior series on the sexual abuse of mentally retarded patients at Willowbrook State School in Staten Island from 1972, four years before Grey Gardens was shot.<br /><br />To paraphrase a review in the New Yorker, there were many things Edith and Edie needed in their lives, and a documentary wasn't one of them.<br /><br />As for Edith and Edie, the thing I kept thinking while watching the film was ""where the hell is their family""? They were living in dangerous, unhealthy, unsafe conditions. How is it that Jackie O, married to one of the richest men on Earth (or the wealthy Bouvier family themselves) couldn't afford to get Edith and Edie a decent home? Or at the very least hire a part-time housekeeper or caregiver to come in and keep an eye on them both? It's shameful and a lasting disgrace to the entire Bouvier family.<br /><br />Although this review may sound negative I would strongly recommend Grey Gardens to anyone who enjoys documentaries. Perhaps someday someone will come along and do a documentary about this documentary - bringing in the rich backstory (and afterstory) of the Beales and the whole subsection of Hamptons society in the 1970's."
